Country,ISO3,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Yugoslavia,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,2000,3500,1600,2200,2800,3200,3500,5600,6300,4900,3200,3000,3000,,300,3000,2700,800,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,2000,3500,1600,2200,2800,3200,3500,5600,6300,4900,3200,3000,3000,,300,3000,2700,800,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,2000,3500,1600,2200,2800,3200,3500,5600,6300,4900,3200,3000,3000,,300,3000,2700,800,,,,,,,,,,,,,,,,,,,,,,,,,



Guatemala,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250,12100,48400,,46298,36939,54517,65710,55000,,,,
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2244,14183,16460,14608,20980,22800,19200,24900,23100,23000,400,22900,26200,29806,27154,31230,29422,39274,58927,53000,58500,70800,75000,89000,94100,100500,77000,72000,49433,37800,51595,49369,41221,36671,37091,40606,43055,40571,,,,
China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,11000,13500,15000,17500,25800,24000,26000,26000,27500,27300,30400,32800,30800,36900,41800,43800,46600,48700,49500,50300,51000,53700,61100,63287,72700,82100,66400,79500,81100,79800,89800,93300,93200,90000,101403,100219,102300,108200,104674,,,,
Myanmar,MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,50,50,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,2500,1000,2200,1700,,,,,1500,2000,2000,2000,6000,12000,12000,8000,,,,,,,,,,,,,,,
Macedonia,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3000,5300,5800,100,,3100,5100,5600,5300,7800,10900,15000,15000,12000,,1800,3600,1700,,,,,,,,,,
kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9900,3500,4000,3600,,284,,,,,500,1000,1200,1600,,,,,,,,,,,,,,,
kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655,3956,9100,7728,4436,7607,6724,7418,4265,7120,4791,3314,,,,
spain,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5380,6398,6630,8136,8029,6296,,2398,7574,8631,7213,,,,,,,,
turkey,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1900,1700,,11300,2539,848,3805,1076,2400,8637,9337,14770,13559,11000,,,,
zambia,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1500,2809,2869,,,,,,487,2500,,,,,
ivorycoast,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,12300,9100,,,,,
madagascar,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5695,25148,37053,47271,42105,35474,33183,33733,,,,
vietnam,VNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166,6854,,,8607,4272,,,,,,,
papuanewguinea,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9516,12918,16725,25582,22269,34666,35355,33091,,,,
