,,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
iraq,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,3000,,,26639,,,,,,,,
italy,ITA,593423,694896,669042,931391,982583,683513,603240,416497,,,354311,233940,505001,514529,512614,630963,,,,417368,517294,494153,559771,844513,1000219,989829,933022,1160794,1319240,1068000,,,132116,147407,242585,557711,540656,457966,530999,839219,1013358,1101036,1405366,1660715,1557025,1280479,1217465,1241861,1215995,1132875,989964,,,,,,,757,683,616,522,659,632,514,478,353,219,434374,345604,195034,67700,237700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,JPN,,,,,,,,,,,54000,56000,,128183,156494,,,,,223141,315605,,507718,742500,,759000,823000,1026000,1248000,2026000,2463000,2630000,1398000,548792,491151,549896,781574,912619,1081934,1372918,1655857,1637574,1542384,1975117,2208000,2056393,2507964,2808683,2825554,2545935,2386916,,,,,,,1574,1428,1347,1007,800,682,745,686,594,456,477555,441735,362449,295503,325000,336025,289731,263367,99418,425,34092,31444,39791,10621,3058,,,,,,,,,,,,,,,,,,,,,,,,,
kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17671000,13128900,1345800,14902200,12975100,13132600,9335800,9607200,16156800,15886300,17675100,19364600,20302500,19471100,18254900,19582200,21486300,22281300,50190000,51742000,52614000,51758500,51540800,37269700,35793500,38728200,41876500,45210800
korea ,"KOR,PRK",139766,179108,235313,241474,138392,,,,,,239369,304470,,381593,415886,,,,,149022,254188,173228,588663,,,760000,1005000,1055000,1664000,2242000,2322000,3334000,819798,,,,,,,17145,18671,30506,28164,61874,182484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
korea north,PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530000,2660000,3059000,3494000,3287000,3799000,,,,,,,8000,8500,8700,8100,8100,9400,9500,500,10000,10000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8500000,9500000,9500000,9500000,10000000,,8000000,2000000,2000000,1000000,,1000000,1000000,,,,212971,227437,290802,365883,455405,512642,541539,592743,663045,693262,445318,444677,310550,380748,342346
korea south,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256902,277211,385900,481200,463300,492800,,,,,,,635,442,414,466,493,644,755,791,693,639,618900,593600,620100,655300,625200,668100,582300,469500,390000,344000,298300,221525,221592,218663,191313,184443,221163,295960,238252,187987,163192,22693,156774,174009,226287,1200000,1200000,1200000,1488000,1500000,5300000,5300000,5100000,3057000,2800000,4020000,4280000,4473000,3500000,3000000
lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,30000,50000,42000,31403,41586,23000,3000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6170000,876974,1264000,1190051,1716932,2036941,2128650,2034501,2664960,2915686,2791829,3741059,6453000,,,,,,,22294,24574,22978,23541,25706,18400,20783,384,20805,19900,17900000,19773000,18029000,15599000,14857000,14369000,14233000,13210000,12767000,7007121,3981000,1200000,1710000,,,,,,,,,,,,,,,,,,,386968,2369850,4698281,4813676,5748520,1405195,1604763,4657155,4458029
luxemburg,LUX,7215514,4926980,6040765,6643689,4207820,3081074,3062450,,,,4031696,5247862,6564862,7633741,7151489,6915853,,,,3161879,3309312,3771328,4068520,4818667,7643597,5059443,5759000,4810000,6722000,5029000,5170000,2877000,1383673,2211421,1960703,3345587,4071984,3784368,5536277,7130442,7056411,5794000,7090818,7474900,7719300,6533160,6406000,6867107,7340152,6404404,6879912,,,,,,,5722,4507,4166,3782,2686,2315,2079,1548,835,630,560165,429080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
